City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,xilin hot,43.9667,116.0333,7.75,41,71,3.12,CN,1697479430
84,broome,42.2506,-75.833,14.21,87,75,4.12,US,1697479430
85,san mariano,7.5,126.0,21.94,93,87,1.3,PH,1697479430
86,mabaruma,8.2,-59.7833,33.03,52,20,3.71,GY,1697479430
87,tura,25.5198,90.2201,20.32,91,0,1.84,IN,1697479430
88,st. john's,47.5649,-52.7093,12.31,97,100,8.94,CA,1697479210
89,chonchi,-42.6128,-73.8092,12.56,49,38,2.33,CL,1697479431
90,market deeping,52.6765,-0.3163,10.58,87,75,3.09,GB,1697479431
91,argo,37.6333,22.7333,21.55,63,97,1.08,GR,1697479391
92,aasiaat,68.7098,-52.8699,-9.03,96,93,1.39,GL,1697479364
93,gargalianoi,37.0667,21.6333,22.42,83,83,3.63,GR,1697479431
94,gurupi,-11.7292,-49.0686,39.92,14,3,3.65,BR,1697479286
95,hawaiian paradise park,19.5933,-154.9731,25.5,90,14,2.01,US,1697479431
96,yellowknife,62.456,-114.3525,6.34,100,100,5.66,CA,1697479274
97,namibe,-15.1961,12.1522,18.46,81,15,2.05,AO,1697479433
98,queenstown,-31.8976,26.8753,10.91,87,96,3.93,ZA,1697479290
99,invercargill,-46.4,168.35,5.57,95,95,0.95,NZ,1697479242
100,ilulissat,69.2167,-51.1,-5.99,86,75,8.75,GL,1697479434
101,punta del este,-34.9667,-54.95,24.06,85,75,3.13,UY,1697479434
102,shetpe,44.1667,52.1167,14.48,20,67,8.51,KZ,1697479434
103,college,64.8569,-147.8028,2.26,80,75,1.54,US,1697479434
104,puerto lempira,15.2667,-83.7667,31.08,66,75,4.12,HN,1697479434
105,blackmans bay,-43.0167,147.3167,4.07,86,20,0.45,AU,1697479313
106,moires,35.0532,24.8744,22.42,87,0,0.89,GR,1697479435
107,dunedin,-45.8742,170.5036,7.67,95,100,2.68,NZ,1697479243
108,kamina,-8.7386,24.9906,22.55,76,98,2.76,CD,1697479435
109,lata,40.1629,-8.3327,19.59,85,99,4.04,PT,1697479368
110,hidrolandia,-4.4081,-40.4378,35.91,29,87,1.48,BR,1697479436
111,tual,-5.6667,132.75,26.81,83,79,6.47,ID,1697479436
112,longyearbyen,78.2186,15.6401,-3.09,68,20,7.2,SJ,1697479436
113,yermakovskoye,53.2831,92.4003,5.53,70,71,4.92,RU,1697479437
114,nuku'alofa,-21.1333,-175.2,21.19,83,20,3.6,TO,1697479437
115,newman,37.3138,-121.0208,25.69,35,11,2.77,US,1697479437
